Employee ID,Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRotation,FeedbackFromManager,Mentoring,Autonomy,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,Tools,TotalWorkingYears,Training,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Performance
64,25.0,Production,2,3.0,1.0,Male,3,1,1,L,N,L,Machinists,4031.0,5.0,No,13.0,3.0,L,6.0,N,3.0,2.0,2.0,0.0,2.0,47
339,32.0,Research and Development,7,4.0,2.0,Female,4,1,2,L,Y,H,Research and Design Specialists,3312.0,6.0,No,17.0,4.0,L,6.0,Y,3.0,3.0,2.0,0.0,2.0,61
376,33.0,Research and Development,9,3.0,4.0,Male,2,3,2,H,Y,H,Customercare Representative,7119.0,2.0,No,15.0,3.0,L,9.0,Y,3.0,3.0,2.0,1.0,2.0,62
429,36.0,Sales,18,2.0,2.0,Male,2,3,4,H,N,H,Sales Executive,7596.0,1.0,No,13.0,2.0,H,10.0,Y,3.0,10.0,9.0,9.0,0.0,82
441,32.0,Research and Development,17,3.0,4.0,Male,3,2,4,L,N,H,Research and Design Specialists,5470.0,9.0,No,13.0,3.0,L,10.0,Y,2.0,9.0,5.0,1.0,6.0,67
564,28.0,Research and Development,22,3.0,3.0,Male,3,1,2,L,Y,H,Research and Design Specialists,2044.0,5.0,No,11.0,3.0,H,5.0,Y,4.0,5.0,3.0,0.0,3.0,61
565,30.0,Research and Development,18,1.0,3.0,Male,2,3,4,H,N,H,Manufacturing Director,8474.0,1.0,No,22.0,3.0,H,12.0,Y,3.0,11.0,8.0,5.0,8.0,64
591,46.0,Human Resources,14,2.0,2.0,Male,3,2,2,L,Y,L,Human Resources,5021.0,8.0,Yes,22.0,4.0,L,16.0,Y,3.0,4.0,2.0,0.0,2.0,33
695,44.0,Finance,18,3.0,2.0,Male,3,3,1,L,Y,H,Accountant,9670.0,2.0,Yes,16.0,4.0,L,6.0,N,1.0,7.0,7.0,3.0,3.0,56
718,41.0,Production,17,4.0,3.0,Male,3,1,2,L,Y,H,Machinists,2289.0,5.0,No,20.0,2.0,L,5.0,Y,3.0,5.0,3.0,0.0,4.0,68
749,54.0,Finance,17,4.0,2.0,Female,2,2,2,L,Y,H,Accountant,9588.0,2.0,Yes,15.0,2.0,H,5.0,Y,2.0,10.0,6.0,1.0,6.0,67
813,41.0,Sales,2,1.0,3.0,Male,3,3,2,H,N,H,Sales Executive,8189.0,3.0,Yes,13.0,3.0,H,12.0,Y,3.0,9.0,7.0,0.0,7.0,68
928,40.0,Finance,4,4.0,1.0,Male,2,2,1,L,Y,H,Accountant,8059.0,9.0,Yes,16.0,1.0,H,9.0,Y,3.0,2.0,6.0,3.0,6.0,67
975,50.0,Sales,2,3.0,3.0,Female,3,3,1,H,Y,H,Sales Executive,9208.0,4.0,No,11.0,4.0,L,16.0,Y,3.0,2.0,2.0,2.0,1.0,56
983,49.0,Research and Development,22,4.0,1.0,Female,3,4,1,L,N,H,Research Director,16413.0,1.0,No,16.0,2.0,L,27.0,N,3.0,4.0,2.0,1.0,2.0,37
1089,35.0,Sales,25,2.0,4.0,Male,3,2,4,H,Y,H,Sales Executive,4968.0,2.0,No,11.0,4.0,L,5.0,Y,3.0,5.0,2.0,0.0,2.0,69
1110,40.0,Sales,13,4.0,3.0,Female,3,5,2,H,N,H,Manager,18041.0,0.0,No,14.0,4.0,L,21.0,Y,3.0,20.0,15.0,1.0,12.0,57
1183,44.0,Finance,17,3.0,1.0,Male,3,2,1,L,Y,H,Accountant,9721.0,2.0,Yes,17.0,2.0,L,10.0,N,1.0,2.0,4.0,3.0,3.0,55
1210,33.0,Finance,23,4.0,1.0,Male,3,2,1,L,N,H,Accountant,8471.0,2.0,No,16.0,1.0,H,7.0,N,1.0,5.0,6.0,3.0,7.0,50
1250,43.0,Production,19,4.0,3.0,Female,3,1,2,H,N,H,Machinists,2455.0,0.0,No,19.0,1.0,L,9.0,Y,3.0,8.0,7.0,1.0,7.0,53
1276,42.0,Research and Development,2,2.0,4.0,Male,2,5,4,L,Y,H,Manager,19613.0,6.0,No,22.0,4.0,H,24.0,Y,3.0,1.0,0.0,0.0,1.0,79
1327,43.0,IT Support,14,4.0,2.0,Female,4,1,4,L,N,H,IT specialists,8574.0,1.0,No,15.0,1.0,H,6.0,N,2.0,4.0,7.0,2.0,7.0,34
1348,32.0,Production,17,1.0,4.0,Male,2,2,2,H,N,H,Machinists,2176.0,4.0,No,13.0,4.0,L,9.0,Y,3.0,6.0,2.0,0.0,4.0,57
1367,27.0,Sales,12,2.0,1.0,Female,4,2,4,L,Y,L,Sales Executive,6500.0,4.0,No,14.0,2.0,H,9.0,Y,2.0,8.0,7.0,0.0,7.0,63
1415,33.0,Sales,16,4.0,3.0,Male,3,2,1,H,N,H,Sales Executive,7104.0,9.0,No,12.0,4.0,L,6.0,Y,3.0,5.0,0.0,1.0,2.0,58
1522,26.0,Sales,10,3.0,3.0,Female,2,2,2,H,Y,H,Sales Executive,4157.0,7.0,Yes,19.0,3.0,L,5.0,N,2.0,2.0,2.0,0.0,0.0,54
1555,25.0,Sales,14,2.0,2.0,Female,2,2,2,H,N,H,Sales Executive,4487.0,1.0,Yes,11.0,2.0,L,5.0,Y,3.0,5.0,4.0,1.0,3.0,53
1561,35.0,Research and Development,9,4.0,3.0,Female,1,1,2,L,Y,H,Research and Design Specialists,2977.0,4.0,No,12.0,4.0,L,4.0,Y,3.0,4.0,3.0,1.0,1.0,57
1610,41.0,Sales,17,3.0,3.0,Female,3,2,4,L,Y,H,Sales Executive,4393.0,7.0,No,21.0,3.0,L,14.0,Y,3.0,5.0,4.0,1.0,4.0,64
1612,28.0,Production,8,3.0,3.0,Female,1,2,1,L,Y,H,Machinists,6674.0,7.0,No,11.0,1.0,H,10.0,N,3.0,9.0,8.0,7.0,5.0,47
1726,34.0,Sales,2,2.0,3.0,Female,3,2,1,H,N,H,Sales Executive,6125.0,6.0,No,12.0,4.0,L,10.0,Y,4.0,10.0,8.0,9.0,6.0,55
1749,42.0,Research and Development,20,1.0,2.0,Male,3,1,2,H,N,L,Research and Design Specialists,2515.0,4.0,Yes,14.0,4.0,L,8.0,N,3.0,2.0,1.0,2.0,2.0,46
1822,22.0,Research and Development,16,1.0,2.0,Female,3,2,1,H,N,L,Manufacturing Director,4171.0,6.0,Yes,19.0,1.0,L,4.0,N,4.0,3.0,2.0,0.0,2.0,26
1908,26.0,Production,17,3.0,1.0,Male,3,1,2,L,N,L,Machinists,2377.0,1.0,No,20.0,3.0,L,1.0,N,2.0,1.0,1.0,0.0,0.0,24
2005,41.0,Research and Development,6,2.0,1.0,Male,2,1,2,L,N,L,Research and Design Specialists,2107.0,1.0,No,17.0,1.0,L,5.0,N,1.0,1.0,0.0,0.0,0.0,44
2066,34.0,Research and Development,23,4.0,1.0,Female,3,3,2,H,N,L,Research Director,11994.0,0.0,No,11.0,3.0,H,13.0,Y,3.0,12.0,6.0,2.0,11.0,70
2096,35.0,Research and Development,13,4.0,4.0,Male,3,2,1,L,N,H,Manufacturing Director,6883.0,7.0,No,16.0,2.0,L,17.0,N,3.0,7.0,7.0,0.0,7.0,26
2111,28.0,Finance,11,4.0,2.0,Male,2,3,1,L,Y,L,Accountant,8292.0,2.0,No,19.0,1.0,L,10.0,Y,1.0,4.0,4.0,1.0,7.0,83
2121,30.0,Research and Development,7,3.0,4.0,Female,3,1,2,L,Y,L,Research and Design Specialists,3204.0,5.0,No,14.0,4.0,L,8.0,N,3.0,3.0,2.0,2.0,2.0,46
2254,55.0,Production,11,2.0,2.0,Male,3,2,2,L,N,L,Machinists,5415.0,3.0,Yes,19.0,4.0,L,12.0,N,3.0,10.0,7.0,0.0,8.0,42
2283,37.0,Production,14,3.0,1.0,Female,3,1,4,H,N,H,Machinists,3629.0,5.0,No,18.0,1.0,H,8.0,Y,3.0,3.0,2.0,0.0,2.0,63
2347,25.0,Finance,10,3.0,4.0,Female,2,2,1,L,N,L,Research and Design Specialists,5959.0,8.0,No,19.0,2.0,L,9.0,N,1.0,9.0,6.0,2.0,5.0,65
2383,43.0,Research and Development,14,3.0,1.0,Male,2,4,1,H,N,H,Research Director,14336.0,1.0,No,11.0,3.0,L,25.0,Y,3.0,25.0,10.0,3.0,9.0,51
2425,44.0,Finance,20,3.0,2.0,Male,3,3,1,L,Y,H,Accountant,9077.0,4.0,Yes,16.0,3.0,H,9.0,Y,1.0,6.0,4.0,2.0,2.0,79
2454,47.0,Finance,9,3.0,1.0,Male,2,2,3,L,Y,H,Accountant,9839.0,2.0,Yes,20.0,1.0,H,7.0,Y,3.0,5.0,3.0,1.0,4.0,66
2721,27.0,Research and Development,19,3.0,4.0,Female,2,2,2,H,N,H,Customercare Representative,6811.0,6.0,No,19.0,1.0,H,9.0,Y,1.0,7.0,6.0,0.0,7.0,72
3034,27.0,Production,15,4.0,3.0,Female,3,1,2,L,Y,H,Machinists,2811.0,7.0,No,14.0,2.0,L,4.0,Y,3.0,2.0,2.0,2.0,2.0,60
3066,35.0,Research and Development,8,2.0,3.0,Male,2,3,3,H,N,H,Customercare Representative,9884.0,2.0,Yes,13.0,3.0,H,10.0,Y,3.0,4.0,0.0,2.0,3.0,69
3076,35.0,Research and Development,18,4.0,3.0,Male,2,2,2,H,N,H,Customercare Representative,6540.0,9.0,No,19.0,3.0,H,10.0,Y,3.0,1.0,1.0,0.0,0.0,70
